name,uniprot_1,uniprot_2,uniprot_3,uniprot_4,adhesion,cytoplasm,extracellular,integrin_interaction,other,other_desc,peripheral,receptor,receptor_desc,secreted_desc,secreted_highlight,secretion,transmembrane,transporter,pdb_structure,pdb_id,stoichiometry,comments_complex
COMPLEX:P05106-P06756,P05106,P06756,,,True,True,True,True,,,True,True,,,,False,True,False,,,ITGB3;ITGAV,
COMPLEX:P05556-P56199,P05556,P56199,,,True,True,True,True,,,True,True,,,,False,True,False,,,ITGB1;ITGA1,
COMPLEX:P00738,P00738,,,,False,True,True,False,,,True,False,,,,False,False,False,,,HP,
COMPLEX:Q04771-Q13873,Q04771,Q13873,,,False,True,True,False,,,True,True,,,,False,True,False,,,ACVR1;BMPR2,
COMPLEX:O75197-O75581,O75197,O75581,,,False,True,True,False,,,True,True,,,,False,True,False,,,LRP5;LRP6,
COMPLEX:P05556-P53708,P05556,P53708,,,True,True,True,True,,,True,True,,,,False,True,False,,,ITGB1;ITGA8,
COMPLEX:P05106-P08514,P05106,P08514,,,True,True,True,True,,,True,True,,,,False,True,False,,,ITGB3;ITGA2B,
COMPLEX:P05556-P13612,P05556,P13612,,,True,True,True,False,,,True,True,,,,False,True,False,,,ITGB1;ITGA4,
COMPLEX:P05556-Q13797,P05556,Q13797,,,True,True,True,True,,,True,True,,,,False,True,False,,,ITGB1;ITGA9,
COMPLEX:O00238-P36894-Q13873,O00238,P36894,Q13873,,False,True,True,False,,,True,True,,,,False,True,False,,,BMPR1B;BMPR1A;BMPR2,
COMPLEX:P05107-Q13349,P05107,Q13349,,,True,False,True,True,,,True,True,,,,False,True,False,,,ITGB2;ITGAD,
COMPLEX:P05556-Q13683,P05556,Q13683,,,True,True,True,False,,,True,True,,,,False,True,False,,,ITGB1;ITGA7,
COMPLEX:O75578-P05556,O75578,P05556,,,True,True,True,True,,,True,True,,,,False,True,False,,,ITGA10;ITGB1,
COMPLEX:P06756-P18564,P06756,P18564,,,True,True,True,True,,,True,True,,,,False,True,False,,,ITGAV;ITGB6,
COMPLEX:P26010-P38570,P26010,P38570,,,True,False,True,True,,,True,True,,,,False,True,False,,,ITGB7;ITGAE,
COMPLEX:P05556-P08648,P05556,P08648,,,True,True,True,True,,,True,True,,,,False,True,False,,,ITGB1;ITGA5,
COMPLEX:P05556-P17301,P05556,P17301,,,True,True,True,True,,,True,True,,,,False,True,False,,,ITGB1;ITGA2,
COMPLEX:P15260-P38484,P15260,P38484,,,False,False,True,False,,,True,True,,,,False,True,False,,,IFNGR1;IFNGR2,
